GERI_ID;GERI_BESCHREIBUNG;GERI_NAME;GERI_VEGETARISCH_KNZ;GERI_ZUTATEN;BEMERKUNG;GERI_PREIS;GERI_TAEGLICH_KNZ;GERI_TATY_ID
88;Keine Beschreibung vorhanden;Milchreis mit Pflaumenkompott, Zimt und Zucker;J;Keine Zutaten vorhanden;;4;N;
89;Keine Beschreibung vorhanden;Kalbszunge in Schnittlauchsoáe mit Buttergemse und Salzkartofffeln ;N;Keine Zutaten vorhanden;;5;N;
90;Keine Beschreibung vorhanden;Kressesuppe ;J;Keine Zutaten vorhanden;;1;N;
91;Keine Beschreibung vorhanden;Pizza Hawaii mit gekochtem Schinken und Salatteller ;N;Keine Zutaten vorhanden;;5;N;
92;Keine Beschreibung vorhanden;Backfisch mit Remoulade, Bratkartoffeln und Salatteller ;N;Keine Zutaten vorhanden;;5;N;
93;Keine Beschreibung vorhanden;Men 2 - Groáe Portion;N;Keine Zutaten vorhanden;;3;N;
94;Keine Beschreibung vorhanden;Men 2 - Kleine Portion;N;Keine Zutaten vorhanden;;1;N;
132;Keine Beschreibung vorhanden;Grnkohlsuppe;J;Keine Zutaten vorhanden;;1;N;
133;Keine Beschreibung vorhanden;Pfannengemse mit Pilzrisotto;J;Keine Zutaten vorhanden;;4;N;
134;Keine Beschreibung vorhanden;Tortillas gefllt mit Geflgelfleisch, Salatteller;N;Keine Zutaten vorhanden;;5;N;
135;Keine Beschreibung vorhanden;Gemsepasta mit Bandnudeln, Salatteller;J;Keine Zutaten vorhanden;;4;N;
136;Keine Beschreibung vorhanden;Grner Bohneneintopf mit Rindfleisch und Mettenden;N;Keine Zutaten vorhanden;;5;N;
223;Keine Beschreibung vorhanden;Pizza mit Fluákrebsen, Artischoken und Salatteller;N;Keine Zutaten vorhanden;;5;N;
224;Keine Beschreibung vorhanden;Lachsfilet im Gemsebett mit Meerrettichsoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
226;Keine Beschreibung vorhanden;Reibekuchen mit Rbenkraut, Apfelkompott und Salatteller;J;Keine Zutaten vorhanden;;4;N;
227;Keine Beschreibung vorhanden;Rindfleisch in Schnittlauchsoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
253;Keine Beschreibung vorhanden;Schollenfilet mit Shrimpssauce, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
264;Keine Beschreibung vorhanden;Frhlingssuppe;J;Keine Zutaten vorhanden;;1;N;
265;Keine Beschreibung vorhanden;Apfelpfannekuchen mit Fruchtsalat;J;Keine Zutaten vorhanden;;4;N;
266;Keine Beschreibung vorhanden;Rahmspinat mit Senfeiern und Salzkartoffeln;N;Keine Zutaten vorhanden;;4;N;
267;Keine Beschreibung vorhanden;Kopfsalatsuppe;J;Keine Zutaten vorhanden;;1;N;
268;Keine Beschreibung vorhanden;Sp„tzlepfanne mit Pilzen und Salatteller;J;Keine Zutaten vorhanden;;4;N;
269;Keine Beschreibung vorhanden;Gemseeintopf mit Rauchfleisch und Siedewurst;N;Keine Zutaten vorhanden;;5;N;
86;Keine Beschreibung vorhanden;Wirsingeintopf mit Mettenden und durchw. Speck;N;Keine Zutaten vorhanden;;5;N;
87;Keine Beschreibung vorhanden;Karottencremesuppe;J;Keine Zutaten vorhanden;;1;N;
270;Keine Beschreibung vorhanden;Eieromelett mit Gemsefllung und Kroketten;J;Keine Zutaten vorhanden;;4;N;
271;Keine Beschreibung vorhanden;Rindfleisch mit Senf, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
272;Keine Beschreibung vorhanden;Seelachsfilet in Kr„uterkruste, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
275;Keine Beschreibung vorhanden;Krbis-Sauerkrautauflauf mit Kartoffelpree;J;Keine Zutaten vorhanden;;4;N;
276;Keine Beschreibung vorhanden;Gefllte Paprikaschote mit Rinderhack, Reis, Tomatensoáe und Salatteller;N;Keine Zutaten vorhanden;;5;N;
282;Keine Beschreibung vorhanden;Kohlrabi-Schnittlauchsuppe;J;Keine Zutaten vorhanden;;1;N;
283;Keine Beschreibung vorhanden;Blumenkohl in K„sesoáe und Petersilienkartoffeln ;J;Keine Zutaten vorhanden;;4;N;
284;Keine Beschreibung vorhanden;Currywurst mit Pommes und Salatteller;N;Keine Zutaten vorhanden;;5;N;
287;Keine Beschreibung vorhanden;Gratinierter Spinat mit H”rnchennudeln und Salatteller;J;Keine Zutaten vorhanden;;4;N;
