TAGE_ID;TAGE_GERI_ID;TAGE_TATY_ID;TAGE_DATUM;TAGE_GESPERRT_KNZ;TAGE_PREIS;ERFASST_VON;ERFASST_AM;GEAENDERT_VON;GEAENDERT_AM;BEMERKUNG
1.050;42;12;10.04.2012 00:00:00;J;1;esc;;esc;10.02.2012 00:00:00;
1.051;44;10;10.05.2012 00:00:00;J;4;esc;;esc;10.02.2012 00:00:00;
1.052;45;10;10.05.2012 00:00:00;J;4;esc;;esc;10.02.2012 00:00:00;
1.053;46;11;10.05.2012 00:00:00;J;5;esc;;esc;10.02.2012 00:00:00;
1.054;47;12;10.05.2012 00:00:00;J;1;esc;;esc;10.02.2012 00:00:00;
1.055;48;11;10.08.2012 00:00:00;J;5;esc;;esc;10.02.2012 00:00:00;
1.056;50;10;10.08.2012 00:00:00;J;4;esc;;esc;10.02.2012 00:00:00;
1.057;49;12;10.08.2012 00:00:00;J;1;esc;;esc;10.02.2012 00:00:00;
1.455;66;12;11.20.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.456;121;10;11.20.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.457;122;11;11.20.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.458;123;12;11.21.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.459;124;10;11.21.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.460;125;11;11.21.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.461;87;12;11.22.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.462;126;10;11.22.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.463;57;11;11.22.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.464;53;12;11.23.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.465;44;10;11.23.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.466;127;10;11.23.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.467;128;11;11.23.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.468;129;12;11.24.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.469;130;10;11.24.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.470;131;11;11.24.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.471;129;12;11.26.2012 00:00:00;J;1;JMA;;JMA;11.16.2012 00:00:00;
1.472;130;10;11.26.2012 00:00:00;J;4;JMA;;JMA;11.16.2012 00:00:00;
1.473;131;11;11.26.2012 00:00:00;J;5;JMA;;JMA;11.16.2012 00:00:00;
1.663;153;12;12.11.2012 00:00:00;J;1;TAM;;TAM;12.07.2012 00:00:00;
1.664;154;10;12.11.2012 00:00:00;J;4;TAM;;TAM;12.07.2012 00:00:00;
1.665;68;11;12.11.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
